route_id,service_id,trip_id,wheelchair_accessible,bikes_allowed,trip_headsign
12661,niedziele i święta,1722594,0,0,"P - Kurs przez Polna SA"
12661,niedziele i święta,1722559,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12661,niedziele i święta,1722532,0,0,""
12661,niedziele i święta,1722605,0,0,""
12661,niedziele i święta,1722530,0,0,""
12661,niedziele i święta,1722606,0,0,""
12661,niedziele i święta,1722523,0,0,""
12661,niedziele i święta,1722607,0,0,""
12661,niedziele i święta,1722510,0,0,""
12661,niedziele i święta,1722621,0,0,"K - Kurs do przystanku Wyb. Wilsona"
12661,niedziele i święta,1722619,0,0,"K - Kurs do przystanku Wyb. Wilsona, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12661,niedziele i święta,1722620,0,0,"K - Kurs do przystanku Wyb. Wilsona, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12661,niedziele i święta,1722641,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12657,robocze,1722293,0,0,"T - W dni wolne od nauki szkolnej kurs do zajezdni MZK"
12657,robocze,1722287,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej, Z - Zjazd do zajezdni"
12657,robocze,1722290,0,0,""
12657,robocze,1722294,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12647,robocze,1721478,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej, B - Kurs do Bakończyc przez ul. Słowackiego, Bakończycką"
12647,robocze,1721472,0,0,"P - Kurs do przystanku Obozowa - POLNA SA, W - Nie kursuje w dni wolne od nauki szkolnej"
12647,robocze,1721477,0,0,"M - Kurs do przystanku Słowackiego PGK, W - Nie kursuje w dni wolne od nauki szkolnej"
12647,robocze,1721479,0,0,"Z - Zjazd do zajezdni"
12647,robocze,1721473,0,0,"M - Kurs do przystanku Słowackiego PGK, W - Nie kursuje w dni wolne od nauki szkolnej"
12655,robocze,1722167,0,0,""
12655,robocze,1722199,0,0,""
12655,robocze,1722275,0,0,"T - Kurs przez ulicę Topolową"
12655,robocze,1722168,0,0,""
12655,robocze,1722274,0,0,"T - Kurs przez ulicę Topolową"
12655,robocze,1722173,0,0,""
12655,robocze,1722200,0,0,""
12655,robocze,1722218,0,0,""
12655,robocze,1722174,0,0,""
12655,robocze,1722219,0,0,""
12655,robocze,1722169,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,robocze,1722170,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,robocze,1722202,0,0,""
12655,robocze,1722217,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,robocze,1722164,0,0,"D - Kurs przez przystanek Dworskiego PKS i ul. Nestora"
12655,robocze,1722234,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,robocze,1722203,0,0,""
12655,robocze,1722235,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,robocze,1722180,0,0,""
12655,robocze,1722181,0,0,""
12655,robocze,1722236,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,robocze,1722178,0,0,""
12655,robocze,1722179,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,robocze,1722260,0,0,"Z - Zjazd do zajezdni"
12655,robocze,1722264,0,0,"Z - Zjazd do zajezdni"
12655,robocze,1722265,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra, Z - Zjazd do zajezdni"
12655,robocze,1722268,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra, Z - Zjazd do zajezdni"
12655,robocze,1722251,0,0,""
12655,robocze,1722252,0,0,""
12655,robocze,1722253,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,soboty,1722220,0,0,""
12655,soboty,1722221,0,0,""
12655,soboty,1722185,0,0,""
12655,soboty,1722186,0,0,""
12655,soboty,1722222,0,0,""
12655,soboty,1722187,0,0,""
12655,soboty,1722223,0,0,""
12655,soboty,1722188,0,0,""
12655,soboty,1722224,0,0,""
12655,soboty,1722189,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,soboty,1722171,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,soboty,1722172,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,soboty,1722240,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,soboty,1722241,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,soboty,1722208,0,0,""
12655,soboty,1722209,0,0,""
12655,soboty,1722242,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,soboty,1722204,0,0,""
12655,soboty,1722238,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,soboty,1722205,0,0,""
12655,soboty,1722239,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12655,soboty,1722182,0,0,""
12655,soboty,1722183,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,soboty,1722201,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra"
12655,soboty,1722269,0,0,"Z - Zjazd do zajezdni"
